Blocked: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 50572)
Blocked: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 50572)
Blocked: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 50572)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '15.197.206.217', 'TCP', 56671, 5222)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('15.197.206.217', '192.168.1.4', 'TCP', 5222, 56671)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '192.168.1.1', 'UDP', 62214, 53)
Blocked: ('15.197.206.217', '192.168.1.4', 'TCP', 5222, 56671)
Blocked: ('15.197.206.217', '192.168.1.4', 'TCP', 5222, 56671)
Blocked: ('192.168.1.4', '15.197.206.217', 'TCP', 56671, 5222)
Blocked: ('15.197.206.217', '192.168.1.4', 'TCP', 5222, 56671)
Blocked: ('192.168.1.4', '15.197.206.217', 'TCP', 56671, 5222)
Blocked: ('192.168.1.4', '15.197.206.217', 'TCP', 56671, 5222)
Blocked: ('192.168.1.4', '15.197.206.217', 'TCP', 56671, 5222)
Blocked: ('192.168.1.4', '15.197.206.217', 'TCP', 56671, 5222)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '104.18.19.125', 'TCP', 56712, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('15.197.206.217', '192.168.1.4', 'TCP', 5222, 56671)
Blocked: ('15.197.206.217', '192.168.1.4', 'TCP', 5222, 56671)
Blocked: ('15.197.206.217', '192.168.1.4', 'TCP', 5222, 56671)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56712)
Blocked: ('192.168.1.4', '104.18.19.125', 'TCP', 56712, 443)
Blocked: ('192.168.1.4', '104.18.19.125', 'TCP', 56712, 443)
Blocked: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56712)
Blocked: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56712)
Blocked: ('192.168.1.4', '104.18.19.125', 'TCP', 56712, 443)
Blocked: ('192.168.1.4', '104.18.19.125', 'TCP', 56712, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56712)
Blocked: ('192.168.1.4', '104.18.19.125', 'TCP', 56712, 443)
Blocked: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56712)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '224.0.0.252', '', '', '')
Blocked: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56712)
Blocked: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56712)
Blocked: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56712)
Blocked: ('192.168.1.4', '104.18.19.125', 'TCP', 56712, 443)
Blocked: ('192.168.1.4', '104.18.19.125', 'TCP', 56712, 443)
Blocked: ('192.168.1.4', '104.18.19.125', 'TCP', 56712, 443)
Blocked: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56712)
Blocked: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56712)
Blocked: ('192.168.1.4', '192.168.1.1', 'UDP', 52444, 53)
Blocked: ('192.168.1.4', '192.168.1.1', 'UDP', 56494, 53)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Blocked: ('192.168.1.1', '192.168.1.4', 'UDP', 53, 52444)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Blocked: ('142.250.181.78', '192.168.1.4', 'TCP', 443, 54228)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Blocked: ('192.168.1.4', '239.255.255.250', '', '', '')
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Blocked: ('192.168.1.4', '224.0.0.251', '', '', '')
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Blocked: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Blocked: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Blocked: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Blocked: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Blocked: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Blocked: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Blocked: ('192.168.1.4', '35.174.127.31', 'TCP', 56694, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '35.174.127.31', 'TCP', 56694, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('35.174.127.31', '192.168.1.4', 'TCP', 443, 56694)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '35.174.127.31', 'TCP', 56694, 443)
Blocked: ('35.174.127.31', '192.168.1.4', 'TCP', 443, 56694)
Blocked: ('35.174.127.31', '192.168.1.4', 'TCP', 443, 56694)
Blocked: ('192.168.1.4', '35.174.127.31', 'TCP', 56694, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '157.240.227.63', 'TCP', 56676, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Blocked: ('157.240.227.63', '192.168.1.4', 'TCP', 443, 56676)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Blocked: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
