Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56733)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56733)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Allowed: ('20.50.88.242', '192.168.1.4', 'TCP', 443, 56734)
Allowed: ('192.168.1.4', '20.50.88.242', 'TCP', 56734, 443)
Allowed: ('20.50.88.242', '192.168.1.4', 'TCP', 443, 56734)
Allowed: ('20.50.88.242', '192.168.1.4', 'TCP', 443, 56734)
Allowed: ('20.50.88.242', '192.168.1.4', 'TCP', 443, 56734)
Allowed: ('20.50.88.242', '192.168.1.4', 'TCP', 443, 56734)
Allowed: ('192.168.1.4', '20.50.88.242', 'TCP', 56734, 443)
Allowed: ('192.168.1.4', '20.50.88.242', 'TCP', 56734, 443)
Allowed: ('192.168.1.4', '185.25.183.36', 'TCP', 56668, 27019)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Allowed: ('20.50.88.242', '192.168.1.4', 'TCP', 443, 56734)
Allowed: ('20.50.88.242', '192.168.1.4', 'TCP', 443, 56734)
Allowed: ('192.168.1.4', '20.50.88.242', 'TCP', 56734, 443)
Allowed: ('20.50.88.242', '192.168.1.4', 'TCP', 443, 56734)
Allowed: ('192.168.1.4', '20.50.88.242', 'TCP', 56734, 443)
Allowed: ('185.25.183.36', '192.168.1.4', 'TCP', 27019, 56668)
Allowed: ('192.168.1.4', '20.50.88.242', 'TCP', 56734, 443)
Allowed: ('192.168.1.4', '20.50.88.242', 'TCP', 56734, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '20.50.88.242', 'TCP', 56734, 443)
Allowed: ('192.168.1.4', '172.217.19.3', 'TCP', 56732, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56659)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('20.50.88.242', '192.168.1.4', 'TCP', 443, 56734)
Allowed: ('172.217.19.3', '192.168.1.4', 'TCP', 443, 56732)
Allowed: ('192.168.1.4', '172.217.19.3', 'TCP', 56732, 443)
Allowed: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Allowed: ('150.171.22.12', '192.168.1.4', 'TCP', 443, 56677)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56698, 443)
Allowed: ('192.168.1.4', '104.18.19.125', 'TCP', 56728, 443)
Allowed: ('192.168.1.4', '224.0.0.252', '', '', '')
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '104.18.18.125', 'TCP', 56659, 443)
Allowed: ('192.168.1.4', '150.171.22.12', 'TCP', 56677, 443)
Allowed: ('104.18.18.125', '192.168.1.4', 'TCP', 443, 56698)
Allowed: ('104.18.19.125', '192.168.1.4', 'TCP', 443, 56728)
